listings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
100%,19,19,100123,39.92865776239099,116.51703533224504,4,2,2,2,,$ 513.00,,,,,1,$ 0.00,1,365,30,60,90,180,1,100,10,10,10,10,10,10,flexible,19,1
100%,14,14,100096,39.994529810857806,116.46833880704726,1,1,1,1,,$ 219.00,,,,,1,$ 50.00,1,1125,30,60,90,365,1,80,10,6,10,10,8,8,flexible,14,1
100%,14,14,100096,39.99709418485707,116.46911743342733,1,1,1,1,,$ 219.00,,,,,1,$ 50.00,1,1125,30,60,90,365,0,,,,,,,,flexible,14,
100%,14,14,100096,39.99517963888292,116.46795870666841,1,1,1,1,,$ 199.00,,,,,1,$ 50.00,1,1125,26,56,86,361,0,,,,,,,,flexible,14,
100%,14,14,100096,39.99621108710531,116.4684407747164,1,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,14,
100%,14,14,100096,39.99607942850249,116.46833840760561,1,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,14,
100%,19,19,100123,39.9233816094117,116.6385761757609,6,2,3,3,,$ 513.00,,,,,1,$ 0.00,1,365,30,60,90,180,0,,,,,,,,flexible,19,
100%,19,19,100121,39.92429615346707,116.5728752983688,2,1,1,1,,$ 445.00,,,,,1,$ 0.00,1,365,29,59,89,179,0,,,,,,,,flexible,19,
99%,48,48,101100,39.916769218310066,116.65816571920153,3,1,1,2,,$ 431.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,48,
100%,2,2,100071,39.8332527402153,116.38197298656243,3,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,22,52,82,82,0,,,,,,,,flexible,2,
100%,2,2,100032,39.928407539618156,116.3597093023761,2,1,0,2,,$ 616.00,,,,,1,$ 0.00,2,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,3,3,100000,39.919890924053746,116.43874511255027,3,1,2,2,,$ 650.00,,,,,1,$ 0.00,1,1125,7,7,7,7,0,,,,,,,,flexible,1,
99%,48,48,101100,39.9174110311875,116.66162203587159,2,1,0,1,,$ 397.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,48,
99%,48,48,101100,39.91578311667885,116.65939848783198,4,2,1,2,,$ 438.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,48,
100%,2,2,,39.89704676756009,116.44111711289172,2,1,1,1,,$ 465.00,,,,$ 74.00,1,$ 0.00,1,1125,25,55,85,360,4,100,10,10,10,10,10,10,strict_14_with_grace_period,2,4
99%,48,48,101100,39.91515360246472,116.65946786974035,2,2,1,1,,$ 438.00,,,,,1,$ 0.00,1,1125,26,56,86,361,0,,,,,,,,flexible,48,
100%,1,1,100043,39.908815345304106,116.18578431621894,4,1,1,3,,$ 500.00,,,$ 700.00,$ 100.00,1,$ 50.00,1,1125,28,58,88,178,0,,,,,,,,flexible,1,
100%,1,1,100096,39.98556028078186,116.47006076415371,3,1,3,2,,$ 397.00,,,,,1,$ 0.00,1,20,25,55,85,360,1,100,10,10,10,10,10,8,flexible,1,1
100%,2,2,100010,39.93929401221634,116.43747895019342,4,1,2,2,,$ 630.00,,,$ 700.00,$ 80.00,1,$ 0.00,1,1125,15,45,75,350,0,,,,,,,,flexible,2,
99%,40,40,100096,40.00811798918525,116.46639730224386,1,1,1,1,,$ 157.00,,,,$ 100.00,2,$ 100.00,1,1125,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,38,
100%,1,1,100024,39.898994230896065,116.54961370851014,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,1,1125,26,56,86,176,1,60,6,6,10,8,10,6,flexible,1,1
100%,1,1,100000,39.94447436878861,116.09549335422055,3,1,2,2,,$ 288.00,,,$ 0.00,$ 0.00,1,$ 40.00,1,1125,23,53,83,358,0,,,,,,,,moderate,1,
N/A,1,1,100096,40.016196732673905,116.43453929596146,1,1,0,1,,$ 260.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
90%,1,1,100001,39.92842335794441,116.44240720781855,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,14,20,47,137,0,,,,,,,,flexible,1,
100%,2,2,100020,39.9225775626449,116.45051552056253,4,1,2,2,,$ 589.00,,,$ 700.00,$ 80.00,1,$ 0.00,1,1125,22,52,82,357,1,,,,,,,,flexible,2,1
99%,40,40,100096,40.009309277138186,116.46565018599408,2,1,1,1,,$ 199.00,,,,$ 100.00,2,$ 100.00,1,1125,10,40,70,345,0,,,,,,,,strict_14_with_grace_period,38,
100%,2,2,100035,39.94764950907467,116.37042995926163,6,1,3,3,,$ 698.00,,,,,1,$ 0.00,1,1125,14,44,74,74,0,,,,,,,,flexible,2,
N/A,1,1,,39.89234410749351,116.46251424979236,4,1,0,2,,$ 602.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,1,
100%,2,2,,39.97125185505705,116.02468827848466,16,1,6,6,,$ 185.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,2,
100%,2,2,100000,39.89243797889126,116.40869151483523,2,1,0,1,,$ 459.00,,,,,1,$ 0.00,1,1125,22,52,82,357,0,,,,,,,,flexible,2,
100%,10,10,100123,39.914426940977386,116.52028435513037,4,1,2,3,,$ 602.00,,,$ 800.00,$ 80.00,6,$ 0.00,1,365,30,60,90,365,0,,,,,,,,moderate,9,
100%,1,1,100000,40.03852209748733,116.41825675680943,2,1,1,1,,$ 151.00,,,,,1,$ 0.00,2,15,11,11,11,11,2,100,10,9,9,10,9,10,flexible,1,2
100%,3,3,100085,40.042947346441096,116.29181160670335,1,1,1,1,,$ 96.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,moderate,3,
99%,48,48,,39.915656661809976,116.65837250330277,2,2,1,1,,$ 438.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,48,
100%,2,2,100070,39.85083000126396,116.31632125992311,8,2,0,4,,$ 199.00,,,,,1,$ 0.00,10,300,13,43,73,73,0,,,,,,,,strict_14_with_grace_period,2,
99%,48,48,101100,39.91677229867847,116.65665299081726,3,2,1,1,,$ 397.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,48,
99%,48,48,101100,39.91552664161843,116.65952089141985,3,1,1,2,,$ 397.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,48,
50%,9,9,102411,39.631001170291896,115.59871776394229,3,1,1,2,,$ 151.00,,,,,1,$ 0.00,1,1125,30,60,90,90,0,,,,,,,,flexible,9,
50%,9,9,102411,39.632688247485554,115.59814926293424,3,1,1,3,,$ 151.00,,,,,1,$ 0.00,1,1125,30,60,90,90,0,,,,,,,,flexible,9,
100%,10,10,100062,39.89501378470412,116.42742167206191,2,1,1,1,,$ 356.00,,,,,1,$ 0.00,1,1125,19,49,79,354,1,100,10,8,10,10,10,10,moderate,10,1
100%,3,3,100000,39.88817291120796,116.4626776317587,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,14,44,74,74,2,100,10,10,10,10,10,10,moderate,3,2
100%,2,2,100166,39.82616568307973,116.3006154320837,4,1,1,2,,$ 431.00,,,,,1,$ 0.00,1,93,20,50,80,355,0,,,,,,,,flexible,2,
50%,9,9,102411,39.641019602628816,115.5887810917801,3,1,1,2,,$ 151.00,,,,,1,$ 0.00,1,1125,30,60,90,90,0,,,,,,,,flexible,9,
91%,15,15,100001,39.940276221150754,116.44830776862159,5,1,2,3,,$ 602.00,,,$ 684.00,$ 79.00,5,$ 50.00,1,5,22,52,82,160,3,100,10,10,10,10,10,10,moderate,11,3
100%,1,1,100000,39.99713911349313,116.4847972635612,3,1,1,1,,$ 500.00,,,$ 0.00,$ 50.00,1,$ 0.00,1,1125,19,49,79,79,1,100,10,10,10,10,10,10,moderate,1,1
100%,1,1,,39.9916102401415,116.33231091737049,1,1,1,1,,$ 157.00,,,,,1,$ 0.00,2,13,3,3,3,3,0,,,,,,,,moderate,1,
100%,8,8,,39.9206780134789,116.65855193250513,4,1,1,2,,$ 568.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,8,
100%,12,12,100000,39.90573597150834,116.56174912754659,5,2,3,3,,$ 500.00,,,,,1,$ 0.00,1,1125,25,55,85,360,0,,,,,,,,flexible,12,
98%,15,15,100036,39.897187932961614,116.29987624205162,4,1,2,2,,$ 541.00,,,$ 775.00,$ 79.00,1,$ 0.00,1,5,21,51,81,171,2,100,10,10,10,10,10,10,moderate,12,2
100%,8,8,,39.92102471536882,116.65816986469235,3,1,1,1,,$ 500.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,8,
100%,12,12,100029,39.97224005777417,116.38454302546782,7,1,3,4,,$ 767.00,,,,,1,$ 0.00,1,1125,16,43,73,348,0,,,,,,,,flexible,12,
100%,5,5,100000,39.9215320821484,116.364599954542,4,1,2,2,,$ 808.00,,,,,1,$ 0.00,1,1125,4,4,21,21,1,100,10,10,10,10,10,10,flexible,5,1
100%,8,8,,40.42694082663293,116.63563802781572,2,1,1,1,,$ 582.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,22,52,82,357,0,,,,,,,,moderate,8,
100%,2,2,102488,39.73016218035629,116.1603403348347,2,1,1,1,,$ 199.00,,,$ 0.00,,1,$ 50.00,1,1125,22,52,82,172,0,,,,,,,,moderate,2,
100%,8,8,101400,40.426856629696324,116.63401215012266,16,1,1,1,,$ 623.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,22,52,82,357,0,,,,,,,,flexible,8,
100%,1,1,,39.89019034743705,116.46489675885888,2,1,1,1,,$ 219.00,,,$ 0.00,$ 35.00,1,$ 0.00,2,1125,12,42,72,72,2,100,10,10,10,10,10,10,moderate,1,2
100%,1,1,102248,39.76518378135665,116.18946042830818,4,2,2,2,,$ 288.00,,,,,1,$ 0.00,2,1125,25,55,85,177,0,,,,,,,,flexible,1,
N/A,1,1,10000,40.35404602432058,115.93022083607565,6,1,2,2,,$ 390.00,,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,flexible,1,
100%,1,1,100071,39.863714045823265,116.36584147181868,2,1,1,1,,$ 370.00,,,,,1,$ 0.00,1,1125,28,58,88,363,1,100,10,8,10,10,10,10,moderate,1,1
100%,1,1,100009,39.94622768920036,116.39677354201334,4,1,1,2,,$ 691.00,,,,$ 100.00,1,$ 0.00,1,1125,24,54,84,84,1,100,10,10,10,10,10,10,moderate,1,1
100%,2,2,100000,39.81553913378921,116.37273846589893,4,1,2,2,,$ 465.00,,,,,1,$ 0.00,1,1125,19,43,73,73,0,,,,,,,,flexible,2,
100%,20,20,100083,39.990888868035476,116.33451812531275,2,1,1,1,,$ 431.00,,,,,1,$ 0.00,1,1125,15,37,67,342,3,100,10,8,10,10,10,10,flexible,20,3
100%,10,10,100123,39.920024966054314,116.51687351789221,1,1,1,1,,$ 103.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,flexible,10,1
100%,1,1,100085,40.04555327014968,116.35220246132789,1,1,1,1,,$ 27.00,,,,,1,$ 0.00,1,1125,15,15,15,15,0,,,,,,,,flexible,1,
N/A,1,1,100039,39.909448407307025,116.27242729762769,2,1,1,1,,$ 240.00,,,,,1,$ 0.00,1,1125,26,56,86,176,0,,,,,,,,flexible,1,
100%,1,1,100022,39.86552896636176,116.50326509900852,2,1,1,1,,$ 199.00,,,$ 0.00,$ 35.00,2,$ 60.00,1,1125,29,59,89,89,0,,,,,,,,moderate,1,
100%,10,10,100025,39.921780968504244,116.51558963255415,1,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,10,
100%,1,1,100096,39.980417608168516,116.46451444104645,5,1,1,3,,$ 411.00,,,,,1,$ 80.00,3,1125,3,4,20,20,0,,,,,,,,flexible,1,
100%,4,4,100009,39.958404526522926,116.4221337075513,2,1,0,1,,$ 151.00,,,,,1,$ 0.00,1,1125,20,50,80,355,1,100,10,10,10,10,10,10,flexible,4,1
100%,10,10,100006,39.92193535974054,116.40636310028975,4,1,1,2,,$ 801.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,10,
100%,5,5,100013,40.10891177310078,116.6312560001625,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,1,1125,24,54,84,359,0,,,,,,,,flexible,5,
100%,10,10,100000,39.92143413836216,116.51550878870007,2,1,0,1,,$ 349.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,10,
100%,8,8,102202,40.108089121353856,116.3944171880781,7,2,5,6,,$ 602.00,,,,,1,$ 0.00,1,1125,23,53,83,358,0,,,,,,,,flexible,8,
100%,10,10,100000,39.91991151573346,116.51672346457558,2,1,0,1,,$ 370.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,10,
100%,1,1,10010,39.91875429398711,116.48744827682671,3,1,1,2,,$ 452.00,,,,$ 80.00,1,$ 0.00,1,1125,22,52,82,357,0,,,,,,,,flexible,1,
67%,1,1,100001,39.91719230558339,116.45710585481606,2,1,1,1,,$ 602.00,,,,,1,$ 0.00,1,1125,29,59,89,269,0,,,,,,,,flexible,1,
100%,2,2,100042,39.91168516890068,116.17663823652401,4,1,2,2,,$ 465.00,,,,,1,$ 0.00,1,1125,18,48,78,168,0,,,,,,,,flexible,1,
100%,1,1,100030,39.94947005033064,116.3624627332891,4,1,2,2,,$ 267.00,,,$ 0.00,$ 34.00,1,$ 0.00,1,1125,0,0,2,2,0,,,,,,,,flexible,1,
100%,4,4,100001,39.928970009252886,116.46243600393102,6,1,2,2,,$ 541.00,,,"$ 1,000.00",$ 66.00,6,$ 100.00,1,1125,26,56,86,86,0,,,,,,,,strict_14_with_grace_period,4,
100%,2,2,10000,39.8947379895334,116.3750437791699,4,1,0,2,,$ 602.00,,,,,1,$ 0.00,1,1125,14,42,72,72,1,100,10,10,10,10,10,10,flexible,2,1
100%,8,8,102100,40.46126693857245,115.77494369154269,4,1,2,2,,$ 698.00,,,,,1,$ 0.00,1,1125,26,56,86,361,1,100,10,10,10,10,10,10,moderate,7,1
100%,9,9,101100,39.908648166566614,116.66715630876097,4,1,2,2,,$ 329.00,,,,,1,$ 0.00,1,200,29,59,89,89,0,,,,,,,,flexible,9,
100%,4,4,100001,39.91870958370736,116.45514415635412,4,2,2,2,,"$ 1,294.00",,,"$ 2,000.00",$ 300.00,2,$ 300.00,1,1124,21,37,67,342,8,100,10,10,10,10,10,10,moderate,3,8
100%,2,2,101102,39.76345571520533,116.5788744260367,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,2,
100%,6,6,100010,39.76104039895865,116.58111511504767,6,2,3,3,,$ 596.00,,,,,1,$ 0.00,1,1125,26,56,86,176,0,,,,,,,,flexible,6,
100%,2,2,101508,40.649646077971276,117.2719186865928,4,1,2,2,,$ 582.00,,,$ 684.00,$ 0.00,4,$ 100.00,1,31,28,58,88,88,0,,,,,,,,moderate,2,
100%,1,1,102600,39.75420573184085,116.3219488657894,4,1,2,2,,$ 459.00,,,,,1,$ 0.00,1,1125,25,55,85,85,2,100,10,10,10,10,10,10,flexible,1,2
100%,3,3,100022,39.89813723472733,116.47733756599916,1,2,1,1,,$ 96.00,,,,,1,$ 0.00,1,1125,20,50,80,355,2,100,10,9,10,10,10,10,flexible,3,2
100%,6,6,100010,39.76978537932004,116.58723135097198,3,1,2,2,,$ 459.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,6,
100%,13,13,100101,39.99042973354096,116.40964309097761,4,1,0,2,,$ 602.00,,,,,3,$ 0.00,1,1125,28,58,88,88,0,,,,,,,,flexible,10,
100%,2,2,100000,39.939742527524125,116.43450894381058,8,1,2,4,,$ 815.00,,,,,1,$ 0.00,1,30,20,50,80,80,3,100,10,10,10,10,10,10,strict_14_with_grace_period,2,3
100%,1,1,,40.6487509724775,117.27067679828401,4,2,2,3,,$ 999.00,,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,flexible,1,
N/A,1,1,100000,40.176600361274915,116.43779973714226,4,1,1,3,,$ 301.00,,,,,1,$ 0.00,1,1125,25,55,85,360,0,,,,,,,,flexible,1,
100%,6,6,100070,39.83697599392274,116.37130725981864,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,180,28,58,88,178,1,100,10,10,10,10,10,8,flexible,6,1
100%,2,2,100058,40.04136411489236,116.5936066561076,1,1,1,1,,$ 137.00,,,,,1,$ 0.00,1,1125,28,58,88,363,0,,,,,,,,flexible,2,
100%,2,2,100083,40.00339866374723,116.35443399905516,1,1,1,1,,$ 96.00,,,,$ 50.00,1,$ 100.00,1,28,16,46,76,76,1,80,10,10,10,10,10,10,strict_14_with_grace_period,2,1
100%,1,1,101201,40.171828087346675,117.28210408990337,12,2,5,5,,$ 596.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,1,1,100082,39.951719185550736,116.3567995336035,4,1,1,2,,$ 397.00,,,,,1,$ 0.00,1,7,4,7,7,7,0,,,,,,,,moderate,1,
100%,13,13,100022,39.89764962444198,116.50439823670479,5,1,3,3,,$ 726.00,,,,,1,$ 0.00,1,1125,17,47,77,352,0,,,,,,,,flexible,13,
100%,1,1,100001,39.93578215555053,116.46480054948194,2,1,1,1,,$ 390.00,,,$ 700.00,$ 50.00,2,$ 70.00,1,1125,26,55,85,104,1,100,10,10,10,10,10,10,flexible,1,1
100%,3,3,100000,40.123658745019775,116.61152026080073,4,1,0,3,,$ 329.00,,,,,1,$ 0.00,1,1125,27,57,87,362,0,,,,,,,,flexible,3,
100%,1,1,100089,39.92878121269908,116.2918472445503,2,1,0,1,,$ 260.00,,,,,1,$ 0.00,1,1125,12,42,72,347,0,,,,,,,,flexible,1,
100%,1,1,100000,39.89912440404289,116.50260527935465,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,12,40,70,70,1,100,10,10,10,10,10,10,strict_14_with_grace_period,1,1
100%,1,1,,39.78544442182421,116.86113470458152,12,3,4,4,,"$ 3,683.00",,,,,1,$ 0.00,1,7,29,59,89,364,0,,,,,,,,flexible,1,
100%,2,2,110108,39.97820804714075,116.31251966346981,4,1,0,2,,$ 589.00,,,,,1,$ 0.00,1,1125,0,12,42,317,0,,,,,,,,moderate,2,
N/A,2,2,101502,40.42495457625482,117.20771000377663,12,3,0,6,,$ 199.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,2,
100%,16,16,,39.898412935263565,116.41707738477811,12,2,3,6,,"$ 1,588.00",,,,$ 200.00,1,$ 0.00,1,1125,17,47,77,352,3,100,10,10,10,10,10,10,strict_14_with_grace_period,16,3
97%,10,10,100079,39.843596976365575,116.41757685160283,6,2,3,3,,$ 685.00,,,,,1,$ 0.00,1,1125,5,5,5,230,0,,,,,,,,flexible,9,
100%,8,8,104100,40.42699245894683,116.63590308400171,4,1,1,2,,$ 883.00,,,,,1,$ 0.00,1,1125,19,49,79,169,0,,,,,,,,flexible,8,
100%,9,9,100083,40.00023209050491,116.3664636816481,2,1,1,1,,$ 582.00,,,$ 775.00,$ 59.00,1,$ 0.00,1,5,27,57,87,177,4,95,10,10,10,10,10,10,moderate,9,4
100%,7,7,100001,39.91560154326453,116.45827289907882,2,1,1,1,,"$ 1,082.00",,,"$ 3,000.00",$ 100.00,1,$ 0.00,1,1125,25,55,85,360,0,,,,,,,,flexible,6,
100%,1,1,100144,39.943230912984845,116.20286911116298,4,2,2,2,,$ 500.00,,,,,1,$ 0.00,1,365,29,59,89,364,0,,,,,,,,flexible,1,
100%,3,3,100080,39.971141624589116,116.30226476287525,2,1,1,1,,$ 363.00,,,$ 800.00,$ 68.00,1,$ 60.00,1,1125,23,53,83,358,0,,,,,,,,flexible,3,
50%,9,9,102411,39.635863859850524,115.60426196576513,3,1,1,2,,$ 151.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,flexible,9,
98%,21,21,100096,40.000160486430005,116.46456968150848,6,1,2,3,,$ 726.00,,,,,1,$ 0.00,1,1125,21,51,81,356,1,100,10,10,10,10,10,10,flexible,21,1
100%,2,2,100077,39.854373512910804,116.38849264165397,4,1,1,2,,$ 329.00,,,,,1,$ 0.00,1,1125,14,44,74,349,0,,,,,,,,flexible,2,
25%,1,1,100025,39.915571755535666,116.46779134991583,4,1,2,2,,$ 582.00,,,,,1,$ 0.00,1,1125,24,54,84,174,0,,,,,,,,flexible,1,
100%,5,5,100001,39.917850520582334,116.45178441318153,2,1,1,1,,$ 698.00,,,$ 634.00,$ 80.00,1,$ 0.00,1,180,28,58,88,363,0,,,,,,,,moderate,5,
100%,1,1,102400,39.72198878942947,116.17325402356457,2,1,0,1,,$ 288.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,moderate,1,
100%,10,10,102212,40.242056362925595,116.36520731425445,6,1,1,3,,"$ 1,246.00",,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,flexible,10,
100%,3,3,100001,39.93474905739792,116.44882822382714,4,1,2,2,,$ 541.00,,,$ 700.00,$ 90.00,1,$ 0.00,3,1125,20,50,80,80,2,100,10,10,10,10,10,10,moderate,3,2
100%,8,8,104100,40.42637950277044,116.63580899845233,2,1,1,1,,$ 520.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,21,51,81,356,0,,,,,,,,moderate,8,
100%,8,8,104100,40.426806265101426,116.63402249245738,4,1,1,2,,$ 883.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,22,52,82,357,0,,,,,,,,flexible,8,
60%,1,1,100009,39.907047278182695,116.44530617478543,2,1,0,1,,$ 397.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,80,10,8,10,10,10,10,flexible,1,1
100%,2,2,10000,39.89573116967089,116.37531649989344,2,1.5,0,1,,$ 370.00,,,,,1,$ 0.00,1,1125,19,49,79,79,1,100,10,10,10,10,10,10,flexible,2,1
N/A,1,1,101300,40.087421052982286,116.66350828873284,4,2,2,2,,$ 500.00,,,"$ 5,000.00",$ 0.00,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,2,2,100073,39.88152236886685,116.31731667284471,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,90,23,53,83,358,0,,,,,,,,moderate,2,
100%,33,33,100022,39.89272239066282,116.46974224243756,2,1,1,1,,$ 527.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,33,
100%,8,8,,40.42642038739552,116.63561343601789,2,1,1,1,,$ 520.00,,,,,1,$ 0.00,1,1125,19,49,79,354,0,,,,,,,,moderate,8,
100%,61,61,100025,39.923988611557135,116.46214587895692,5,1,2,3,,$ 698.00,,,,,1,$ 0.00,5,1125,30,60,90,365,0,,,,,,,,flexible,61,
100%,8,8,,40.42887211872313,116.63492335145901,3,1,1,1,,$ 623.00,,,,,1,$ 0.00,1,1125,24,54,84,359,0,,,,,,,,flexible,8,
100%,8,8,10000,40.10606402089812,116.39239706531548,1,1,1,1,,$ 110.00,,,,,1,$ 0.00,1,1125,26,56,86,359,0,,,,,,,,flexible,8,
93%,6,6,,39.88782218571036,116.43900248893118,4,1,2,2,,$ 582.00,,,$ 681.00,$ 59.00,4,$ 0.00,1,5,8,38,68,343,5,100,10,10,10,10,10,10,flexible,6,5
99%,40,40,100096,40.015161702527635,116.36492107029767,2,2,1,1,,$ 404.00,,,,$ 100.00,2,$ 80.00,1,1125,23,53,83,358,0,,,,,,,,strict_14_with_grace_period,38,
99%,40,40,100096,40.01705055073072,116.36491692451104,2,2,1,1,,$ 397.00,,,,$ 100.00,2,$ 80.00,1,1125,20,50,80,355,0,,,,,,,,strict_14_with_grace_period,38,
100%,3,3,100032,39.98247652548067,116.36066027115514,4,1,1,2,,$ 561.00,,,,,1,$ 0.00,1,1125,23,53,83,358,0,,,,,,,,flexible,3,
100%,6,6,,39.94102213658654,116.374233623844,4,1,2,2,,$ 657.00,,,,,1,$ 0.00,1,1125,21,51,81,356,0,,,,,,,,flexible,6,
50%,9,9,102411,39.63220127968498,115.59693139634608,2,1,1,1,,$ 178.00,,,,,1,$ 0.00,1,1125,30,60,90,90,0,,,,,,,,flexible,9,
100%,1,1,100082,39.9511151327544,116.36821111965637,2,1,0,1,,$ 260.00,,,$ 0.00,$ 35.00,1,$ 0.00,2,1125,3,5,5,5,1,,,,,,,,strict_14_with_grace_period,1,1
100%,3,3,100070,39.86717084665129,116.2984898518551,5,1,2,3,,$ 301.00,,,,,1,$ 0.00,1,30,0,23,53,328,0,,,,,,,,flexible,3,
100%,8,8,104100,40.426965747662166,116.6355174361928,4,1,1,2,,$ 883.00,,,,,1,$ 0.00,1,1125,21,51,81,171,0,,,,,,,,flexible,8,
100%,5,5,100096,39.99269123816177,116.47349758845172,2,1,0,1,,$ 561.00,,,,,1,$ 0.00,1,1125,28,58,88,363,0,,,,,,,,flexible,4,
100%,1,1,100085,40.02967263904837,116.33224616834927,2,1,1,1,,$ 356.00,,,,$ 52.00,1,$ 34.00,1,1125,29,59,89,89,0,,,,,,,,strict_14_with_grace_period,1,
100%,1,1,100007,39.89514571148525,116.55062157062783,2,1,0,1,,$ 390.00,,,,$ 40.00,1,$ 40.00,1,1125,28,58,88,363,0,,,,,,,,moderate,1,
100%,3,3,100000,40.32077586301202,116.5976798011178,12,2,4,12,,"$ 1,390.00",,,,$ 200.00,1,$ 0.00,1,1125,25,55,85,360,0,,,,,,,,moderate,3,
N/A,1,1,100107,40.02613041173619,116.41339700785107,2,0.5,2,2,,$ 999.00,,,"$ 1,000.00",$ 0.00,1,$ 0.00,1,30,16,16,16,16,0,,,,,,,,flexible,1,
50%,1,1,100055,39.89797791144984,116.34756925666383,2,1,0,1,,$ 199.00,,,,,1,$ 0.00,30,365,29,59,89,179,0,,,,,,,,moderate,1,
100%,9,9,100006,39.936967765979254,116.41943790843052,1,1,1,1,,"$ 3,998.00",,,$ 678.00,$ 298.00,1,$ 0.00,1,1125,28,58,88,178,0,,,,,,,,moderate,9,
100%,1,1,100024,39.91907874449339,116.55259129165721,2,1,1,1,,$ 246.00,,,,$ 0.00,2,$ 80.00,1,1125,8,38,68,343,0,,,,,,,,flexible,1,
94%,2,2,100122,39.87965354338682,116.45580151768668,2,1,0,1,,$ 192.00,,,,,1,$ 0.00,1,1125,27,57,87,362,0,,,,,,,,flexible,2,
50%,9,9,102411,39.63159323930068,115.59684694432137,2,1,1,1,,$ 151.00,,,,,1,$ 0.00,1,1125,30,60,90,90,0,,,,,,,,flexible,9,
100%,1,1,102269,39.68687354173463,116.32263815559634,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,flexible,1,
100%,2,2,100000,39.73087359201212,116.33136752537483,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,21,51,81,356,0,,,,,,,,flexible,1,
